Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0402_1005Metric,45.523085,-94.996,180.0,bottom
C2,22pF,C_0402_1005Metric,47.9044,-90.1192,-90.0,bottom
C3,100nF,C_0402_1005Metric,55.626,-67.5005,90.0,bottom
C4,1uF,C_0402_1005Metric,38.735,-66.675,180.0,bottom
C5,1uF,C_0402_1005Metric,32.764129,-69.826555,90.0,bottom
C6,10uF,C_0402_1005Metric,33.780128,-69.826555,90.0,bottom
C7,1uF,C_0402_1005Metric,39.751,-79.375,180.0,bottom
C8,100nF,C_0402_1005Metric,36.576,-81.026,180.0,bottom
C9,100nF,C_0402_1005Metric,42.7228,-94.3356,-90.0,bottom
C10,1uF,C_0402_1005Metric,40.7924,-77.343,90.0,bottom
C11,100nF,C_0402_1005Metric,31.75,-84.836,180.0,bottom
C12,100nF,C_0402_1005Metric,42.799,-71.1975,90.0,bottom
C13,100nF,C_0402_1005Metric,51.562,-85.09,0.0,bottom
C14,100nF,C_0402_1005Metric,41.7068,-94.3356,-90.0,bottom
C15,100nF,C_0402_1005Metric,41.783,-71.1975,90.0,bottom
C16,100nF,C_0402_1005Metric,36.576,-80.086386,180.0,bottom
C17,100nF,C_0402_1005Metric,49.276,-80.772,0.0,bottom
C18,2.2uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,160.3375,-68.8975,180.0,bottom
C19,100nF,C_0402_1005Metric,29.0068,-90.932,90.0,bottom
D1,D_Small,D_SOD-123F,36.5125,-58.7375,90.0,bottom
D2,D_Small,D_SOD-123F,36.5125,-76.581,90.0,bottom
D3,D_Small,D_SOD-123F,41.91,-99.949,90.0,bottom
D4,D_Small,D_SOD-123F,46.0375,-117.475,90.0,bottom
D5,D_Small,D_SOD-123F,60.325,-58.7375,90.0,bottom
D6,D_Small,D_SOD-123F,55.5625,-77.7875,90.0,bottom
D7,D_Small,D_SOD-123F,65.0875,-100.0125,90.0,bottom
D8,D_Small,D_SOD-123F,60.325,-117.475,90.0,bottom
D9,D_Small,D_SOD-123F,74.6125,-58.7375,90.0,bottom
D10,D_Small,D_SOD-123F,74.6125,-77.7875,90.0,bottom
D11,D_Small,D_SOD-123F,84.1375,-100.0125,90.0,bottom
D12,D_Small,D_SOD-123F,79.375,-117.475,90.0,bottom
D13,D_Small,D_SOD-123F,93.6625,-58.7375,90.0,bottom
D14,D_Small,D_SOD-123F,93.6625,-77.7875,90.0,bottom
D15,D_Small,D_SOD-123F,103.1875,-100.0125,90.0,bottom
D16,D_Small,D_SOD-123F,112.7125,-58.7375,90.0,bottom
D17,D_Small,D_SOD-123F,112.7125,-77.7875,90.0,bottom
D18,D_Small,D_SOD-123F,122.2375,-100.0125,90.0,bottom
D19,D_Small,D_SOD-123F,111.91875,-122.2375,90.0,bottom
D20,D_Small,D_SOD-123F,131.7625,-58.7375,90.0,bottom
D21,D_Small,D_SOD-123F,131.7625,-77.7875,90.0,bottom
D22,D_Small,D_SOD-123F,140.462,-100.0125,90.0,bottom
D23,D_Small,D_SOD-123F,138.1125,-122.2375,90.0,bottom
D24,D_Small,D_SOD-123F,150.8125,-122.2375,90.0,bottom
D25,D_Small,D_SOD-123F,150.8125,-58.7375,90.0,bottom
D26,D_Small,D_SOD-123F,150.8125,-77.7875,90.0,bottom
D27,D_Small,D_SOD-123F,169.8625,-58.7375,90.0,bottom
D28,D_Small,D_SOD-123F,169.8625,-77.7875,90.0,bottom
D29,D_Small,D_SOD-123F,169.8625,-100.0125,90.0,bottom
D30,D_Small,D_SOD-123F,179.3875,-122.2375,90.0,bottom
D31,D_Small,D_SOD-123F,188.9125,-58.7375,90.0,bottom
D32,D_Small,D_SOD-123F,188.9125,-77.7875,90.0,bottom
D33,D_Small,D_SOD-123F,188.9125,-100.0125,90.0,bottom
D34,D_Small,D_SOD-123F,183.388,-122.2375,90.0,bottom
D35,D_Small,D_SOD-123F,207.9625,-58.7375,90.0,bottom
D36,D_Small,D_SOD-123F,207.9625,-77.7875,90.0,bottom
D37,D_Small,D_SOD-123F,207.9625,-100.0125,90.0,bottom
D38,D_Small,D_SOD-123F,227.0125,-58.7375,90.0,bottom
D39,D_Small,D_SOD-123F,220.6625,-79.375,90.0,bottom
D40,D_Small,D_SOD-123F,227.0125,-100.0125,90.0,bottom
D41,D_Small,D_SOD-123F,227.0125,-117.475,90.0,bottom
D42,D_Small,D_SOD-123F,239.7125,-60.325,90.0,bottom
D43,D_Small,D_SOD-123F,239.7125,-79.375,90.0,bottom
D44,D_Small,D_SOD-123F,246.0625,-100.0125,90.0,bottom
D45,D_Small,D_SOD-123F,241.3,-117.475,90.0,bottom
D46,D_Small,D_SOD-123F,265.1125,-58.7375,90.0,bottom
D47,D_Small,D_SOD-123F,265.1125,-79.375,90.0,bottom
D48,D_Small,D_SOD-123F,264.795,-99.949,90.0,bottom
D49,D_Small,D_SOD-123F,260.35,-117.475,90.0,bottom
D50,D_Small,D_SOD-123F,154.686,-99.949,90.0,bottom
F1,500mA,Fuse_1206_3216Metric,39.243,-63.373,-90.0,bottom
LED1,YS-SK6812MINI-E,SK6812-MINI-E,114.3,-107.95,180.0,bottom
LED2,YS-SK6812MINI-E,SK6812-MINI-E,147.6375,-107.95,180.0,bottom
LED3,YS-SK6812MINI-E,SK6812-MINI-E,180.975,-107.95,180.0,bottom
LED4,YS-SK6812MINI-E,WS2812-2020,122.2375,-66.675,180.0,bottom
LED5,YS-SK6812MINI-E,WS2812-2020,192.0875,-66.675,180.0,bottom
LED6,YS-SK6812MINI-E,WS2812-2020,245.364,-66.675,180.0,bottom
LED7,YS-SK6812MINI-E,WS2812-2020,242.8875,-106.3625,0.0,bottom
LED8,YS-SK6812MINI-E,WS2812-2020,192.0875,-106.3625,0.0,bottom
LED9,YS-SK6812MINI-E,WS2812-2020,122.2375,-106.3625,0.0,bottom
LED10,YS-SK6812MINI-E,WS2812-2020,52.3875,-106.3625,0.0,bottom
LED11,YS-SK6812MINI-E,WS2812-2020,52.3875,-66.675,180.0,bottom
Q1,2N2222,SOT-23,200.025,-111.125,0.0,bottom
R1,27R,R_0603_1608Metric,40.48125,-72.99375,-90.0,bottom
R2,27R,R_0603_1608Metric,38.95725,-72.99375,-90.0,bottom
R3,1k,R_0402_1005Metric,135.45052,-73.025,-90.0,bottom
R4,5k1,R_0402_1005Metric,41.402,-58.928,-90.0,bottom
R5,5k1,R_0402_1005Metric,45.085,-58.928,-90.0,bottom
